id,title,severity,cvss_score,endpoint,timestamp,file
vuln-0005,JWT Signature Not Verified — Full Authentication Bypass and Admin Escalation on api.taintedport.com,CRITICAL,10.0,/admin/orders,2026-07-20 11:46:35 UTC,vulnerabilities/vuln-0005-description-jwt-signature-not-verified-full-authentication-bypass-and-ad.md
vuln-0007,Mass Assignment on POST /auth/register — `is_admin` field grants full administrator privileges to any unauthenticated attacker,CRITICAL,9.1,/auth/register,2026-07-20 11:46:55 UTC,vulnerabilities/vuln-0007-description-mass-assignment-on-post-auth-register-is-admin-field-grants-.md
vuln-0008,Reflected XSS in POST /api/contact/preview enables cross-site JWT theft and account takeover,CRITICAL,9.3,/api/contact/preview,2026-07-20 11:48:29 UTC,vulnerabilities/vuln-0008-description-reflected-xss-in-post-api-contact-preview-enables-cross-site.md
vuln-0009,Default Administrative Credentials (admin@example.com : password123) on POST /auth/login Grant Full Admin Takeover,CRITICAL,9.4,/auth/login,2026-07-20 11:49:21 UTC,vulnerabilities/vuln-0009-description-default-administrative-credentials-admin-example-com-passwor.md
vuln-0012,Authentication Bypass via SQL Injection in POST /auth/login `email` Parameter (Unauthenticated Admin Takeover),CRITICAL,10.0,/auth/login,2026-07-20 11:52:06 UTC,vulnerabilities/vuln-0012-description-authentication-bypass-via-sql-injection-in-post-auth-login-e.md
vuln-0002,"Public OpenAPI Schema at /openapi.yaml Discloses Working Credentials, Internal URLs, and Hidden High-Risk Endpoints",HIGH,8.2,/openapi.yaml,2026-07-20 11:43:51 UTC,vulnerabilities/vuln-0002-description-public-openapi-schema-at-openapi-yaml-discloses-working-cred.md
vuln-0003,"Horizontal IDOR on GET /orders/{id} exposes any user's email, bcrypt password hash, TOTP secret, and admin flag",HIGH,7.7,/orders/{id},2026-07-20 11:43:56 UTC,vulnerabilities/vuln-0003-description-horizontal-idor-on-get-orders-id-exposes-any-user-s-email-bc.md
vuln-0006,Open Redirect in POST /auth/login `redirect` Field Enables Same-Origin XSS and JWT Theft via `javascript:` URI,HIGH,8.1,/auth/login,2026-07-20 11:46:38 UTC,vulnerabilities/vuln-0006-description-open-redirect-in-post-auth-login-redirect-field-enables-same.md
vuln-0013,2FA Enrollment Accepts Client-Supplied `totp_secret` on POST /auth/2fa/enable — Persistent Account Backdoor,HIGH,8.3,/auth/2fa/enable,2026-07-20 11:56:04 UTC,vulnerabilities/vuln-0013-description-2fa-enrollment-accepts-client-supplied-totp-secret-on-post-a.md
vuln-0015,Stored XSS in wine review comment field enables cross-user JWT theft and account takeover,HIGH,8.7,/wines/{id}/reviews,2026-07-20 11:58:22 UTC,vulnerabilities/vuln-0015-description-stored-xss-in-wine-review-comment-field-enables-cross-user-j.md
